key,year,status,title,stage2_include,exclude_reason,wind_predictor,wind_mentions,host_terms_present,terrain_terms,n_pages,grain_m,extent,full_text_checked,original_filename
meddens2014spatial,2014,verified,"Spatial and temporal patterns of Landsat-based detection of tree mortality caused by a mountain pine beetle outbreak in Colorado, USA",yes,,no,0,yes,yes,11,not extracted,not extracted,yes,Meddens & Hicke 2014 Spatial and temporal patterns of Landsat.pdf
powell2014phenology,2014,verified,Phenology and density-dependent dispersal predict patterns of mountain pine beetle (Dendroctonus ponderosae) impact,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,powell & bentz2014 Phenology and density-dependent dispersal predict patterns of mountain pine beetle (Dendroctonus ponderosae) impact .pdf
jarvis2015long,2015,verified,Long‐term history and synchrony of mountain pine beetle outbreaks in lodgepole pine forests,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,"Jarvis, D. S., & Kulakowski, D. (2015). Long-term history and synchrony of mountain pine beetle outbreaks in lodgepole pine forests.pdf"
stevensrumann2015bark,2015,verified,Bark beetles and wildfires: How does forest recovery change with repeated disturbances in mixed conifer forests?,no,"post-disturbance response, attack not the response variable",,,,,,not extracted,not extracted,no,Stevens -Rumann et al 2015 Bark beetles and wildfires - How does forest recovery change with repeated disturbances in mixed conifer forests.pdf
huber2016proteomics,2016,verified,"The Proteomics and Transcriptomics of Early Host Colonization and Overwintering Physiology in the Mountain Pine Beetle, Dendroctonus ponderosae Hopkins (Coleoptera: Curculionidae)",no,"mechanism or physiology, not a spatial model of attack",,,,,,not extracted,not extracted,no,"Huber et al 2016 The proteomics and transcriptomics of early host colonization and overwintering physiology in the mountain pine beetle, Dendroctonus ponderosae Hopkins.pdf"
lerch2016mountain,2016,verified,Mountain Pine Beetle Dynamics and Reproductive Success in Post-Fire Lodgepole and Ponderosa Pine Forests in Northeastern Utah,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Lerch et al 2016 Mountain Pine Beetle Dynamics and Reproductive Success in Post-Fire Lodgepole and Ponderosa Pine Forests in Northeastern Utah.pdf
cooke2017predicting,2017,verified,Predicting the risk of mountain pine beetle spread to eastern pine forests: Considering uncertainty in uncertain times,no,"range or spread projection, not within-landscape attack",,,,,,not extracted,not extracted,no,Cooke & Carroll 2009 Predicting the risk of mountain pine beetle spread to eastern pine forests.pdf
sieg2017fires,2017,verified,Fires Following Bark Beetles: Factors Controlling Severity and Disturbance Interactions in Ponderosa Pine,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Sieg et al 2017 Fires Following Bark Beetles.pdf
cartwright2018landscape,2018,verified,Landscape Topoedaphic Features Create Refugia from Drought and Insect Disturbance in a Lodgepole and Whitebark Pine Forest,yes,,no,3,yes,yes,35,not extracted,not extracted,yes,Cartright 2018 Landscape Topoedaphic Features Create Refugia from Drought and Insect Disturbance in a Lodgepole and Whitebark Pine Forest.pdf
pelz2018severity,2018,verified,Severity of Overstory Mortality Influences Conifer Recruitment and Growth in Mountain Pine Beetle-Affected Forests,no,"post-disturbance response, attack not the response variable",,,,,,not extracted,not extracted,no,Pelz et al 2018 Severity of Overstory Mortality Influences Conifer Recruitment and Growth in Mountain Pine Beetle-Affected Forests.pdf
woodward2018mapping,2018,verified,Mapping Progression and Severity of a Southern Colorado Spruce Beetle Outbreak Using Calibrated Image Composites,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,Woodward 2018 Mapping Progression and Severity of a Southern_Colorado Spruce Beetle Outbreak Using Calibrated_Image Composites.pdf
campbell2019resilience,2019,verified,Resilience of southern Yukon boreal forests to spruce beetle outbreaks,no,"range or spread projection, not within-landscape attack",,,,,,not extracted,not extracted,no,Campbell et al 2019 Glmnet - Resilience of southern Yukon boreal forests to spruce beetle outbreaks.pdf
jones2019factors,2019,verified,Factors influencing dispersal by flight in bark beetles (Coleoptera: Curculionidae: Scolytinae): from genes to landscapes,no,"mechanism or physiology, not a spatial model of attack",,,,,,not extracted,not extracted,no,Jones et al 2019 Factors-influencing-dispersal-by-flight-in-bark-beetles-(coleoptera-curculionidae-scolytinae).pdf
macquarrie2019predicted,2019,verified,The predicted effect of the polar vortex of 2019 on winter survival of emerald ash borer and mountain pine beetle,no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,MacQuarrie et al 2019 the-predicted-effect-of-the-polar-vortex-of-2019-on-winter-survival-of-emerald-ash-borer-and.pdf
ray2019patterns,2019,verified,"Patterns of woodboring beetle activity following fires and bark beetle outbreaks in montane forests of California, USA",no,not a spatial model of bark beetle attack,,,,,,not extracted,not extracted,no,"Ray 2019 Patterns of woodboring beetle activity following fires and bark beetle outbreaks in montane forests of California, USA.pdf"
talucci2019dead,2019,verified,Dead forests burning: the influence of beetle outbreaks on fire severity and legacy structure in sub‐boreal forests,no,"post-disturbance response, attack not the response variable",,,,,,not extracted,not extracted,no,Talucci 2019 Dead forests burning - the inﬂuence of beetle outbreaks on ﬁreseverity and legacy structure in sub-boreal forests.pdf
