"point_id","plot","easting_m","northing_m","pi_mpb_killed","pi_mpb_killed_pc","NDMI_2003","NDMI_2005","NDMI_2006","NDMI_2007","NDMI_2008","NDMI_2009","NDMI_2010","NDMI_2011","NDMI_2012","NDMI_2013","NDMI_2014"
56,14,523410.945,5447613.34,12.2775414763885,86.7627074102368,0.346316754817963,0.318293809890747,0.309436291456223,0.298171639442444,0.288888692855835,0.313027411699295,0.33637934923172,0.36663743853569,0.372661679983139,0.365429759025574,0.370105624198914
57,15,524064.136,5447756.877,0.622957484084543,97.850410957203,0.510509788990021,0.50046980381012,0.469567060470581,0.473643571138382,0.466011762619019,0.467921614646912,0.526648283004761,0.476177334785461,0.510132908821106,0.494948744773865,0.482296288013458
58,15,524032.386,5447758.2,0.622957484084543,97.850410957203,0.48954850435257,0.458889871835709,0.474974513053894,0.450137883424759,0.418209165334702,0.444736808538437,0.494629681110382,0.477358877658844,0.494188666343689,0.498214960098267,0.484759569168091
59,15,524064.467,5447734.057,0.622957484084543,97.850410957203,0.529497861862183,0.485402643680573,0.474735200405121,0.467802345752716,0.479964226484299,0.471323400735855,0.501281440258026,0.528707325458527,0.532390296459198,0.522445857524872,0.494767725467682
60,15,524034.04,5447733.726,0.622957484084543,97.850410957203,0.528851449489594,0.475433319807053,0.43584081530571,0.433028131723404,0.481931209564209,0.480392396450043,0.489232063293457,0.526719331741333,0.512400150299072,0.521549820899963,0.499543815851212
61,16,523322.243,5448286.31,8.94947148798914,88.3551928019693,0.421135187149048,0.410591393709183,0.420908153057098,0.421560943126678,0.392199814319611,0.388167411088943,0.426941007375717,0.426324963569641,0.442807823419571,0.434880316257477,0.410534530878067
62,16,523290.493,5448287.632,8.94947148798914,88.3551928019693,0.456846594810486,0.453159272670746,0.440604209899902,0.45137694478035,0.388202458620071,0.442785352468491,0.463985413312912,0.451401025056839,0.455367684364319,0.483114212751389,0.475614815950394
63,16,523322.574,5448263.489,8.94947148798914,88.3551928019693,0.428848206996918,0.399699091911316,0.426756322383881,0.407870531082153,0.359188973903656,0.386583387851715,0.418966084718704,0.426550894975662,0.434044659137726,0.459180504083633,0.422568082809448
64,16,523292.147,5448263.158,8.94947148798914,88.3551928019693,0.356776207685471,0.354111313819885,0.350123792886734,0.300645381212234,0.262564033269882,0.342335194349289,0.342363119125366,0.33683905005455,0.371020048856735,0.397221326828003,0.37846714258194
69,18,523503.219,5447903.721,26.7821906400317,82.516768859463,0.361937522888184,0.302744001150131,0.291188031435013,0.30109766125679,0.290130496025085,0.324717849493027,0.324648827314377,0.370507955551147,0.362092524766922,0.414531826972961,0.38604462146759
70,18,523471.469,5447905.044,26.7821906400317,82.516768859463,0.330769598484039,0.277236670255661,0.296153366565704,0.275200843811035,0.249442368745804,0.283809036016464,0.30406978726387,0.330023020505905,0.31882306933403,0.316072702407837,0.338163793087006
71,18,523503.549,5447880.901,26.7821906400317,82.516768859463,0.341910868883133,0.329316526651382,0.350992321968079,0.363859593868256,0.284006267786026,0.32793515920639,0.361225664615631,0.365894377231598,0.351851224899292,0.39620715379715,0.376939326524734
72,18,523473.122,5447880.57,26.7821906400317,82.516768859463,0.363610565662384,0.359007894992828,0.365551441907883,0.367417097091675,0.321187704801559,0.341871231794357,0.375333696603775,0.385022848844528,0.375645339488983,0.403081059455872,0.382367104291916
73,19,523560.104,5447903.721,42.2896190094521,80.3480178591308,0.37084111571312,0.377399027347565,0.367861986160278,0.362946420907974,0.318809121847153,0.350005447864532,0.400904566049576,0.34088146686554,0.40245994925499,0.413498938083649,0.40505388379097
74,19,523528.354,5447905.044,42.2896190094521,80.3480178591308,0.370622307062149,0.334460496902466,0.34376049041748,0.315974235534668,0.32547402381897,0.311147511005402,0.369182050228119,0.370112270116806,0.376464158296585,0.405621498823166,0.383628308773041
75,19,523560.435,5447880.901,42.2896190094521,80.3480178591308,0.416973918676376,0.387935996055603,0.379634439945221,0.371223479509354,0.397076576948166,0.39021572470665,0.41678524017334,0.376360654830933,0.411627769470215,0.432358652353287,0.426664978265762
76,19,523530.008,5447880.57,42.2896190094521,80.3480178591308,0.360444247722626,0.358529776334763,0.337496489286423,0.3453089594841,0.293140709400177,0.320478796958923,0.375338643789291,0.344263046979904,0.356858551502228,0.375278234481812,0.387480080127716
77,20,523796.907,5448526.023,32.1352144081669,81.4756191353309,0.439566880464554,0.313639789819717,0.300975739955902,0.307247549295425,0.317253947257996,0.376504272222519,0.432908713817596,0.412229597568512,0.478804051876068,0.451754301786423,0.428095191717148
78,20,523765.157,5448527.345,32.1352144081669,81.4756191353309,0.443258315324783,0.362438052892685,0.376895070075989,0.380299925804138,0.377204537391663,0.4428371489048,0.428719788789749,0.378016859292984,0.478361994028091,0.468381106853485,0.477649092674255
79,20,523797.237,5448503.202,32.1352144081669,81.4756191353309,0.484320610761642,0.384493231773376,0.372304439544678,0.424823015928268,0.41236412525177,0.444388777017593,0.453078716993332,0.365912824869156,0.497177183628082,0.49446028470993,0.44693586230278
80,20,523766.81,5448502.871,32.1352144081669,81.4756191353309,0.490967988967896,0.413490682840347,0.391260266304016,0.448893547058105,0.398947209119797,0.428417533636093,0.5067258477211,0.401529520750046,0.492680460214615,0.499327719211578,0.487589091062546
81,21,523946.132,5448579.998,27.0580121075243,82.4046190094521,0.490118324756622,0.392623692750931,0.401121556758881,0.404784798622131,0.337516278028488,0.411662608385086,0.460323661565781,0.422928243875504,0.490460932254791,0.471865355968475,0.475587129592896
82,21,523914.382,5448581.321,27.0580121075243,82.4046190094521,0.454229652881622,0.232760325074196,0.274221926927567,0.306679159402847,0.301695317029953,0.29458549618721,0.42843496799469,0.272073864936829,0.461626410484314,0.383065730333328,0.382423520088196
83,21,523946.463,5448557.177,27.0580121075243,82.4046190094521,0.496547758579254,0.42010310292244,0.430614441633224,0.449338972568512,0.394963711500168,0.431364059448242,0.435364991426468,0.432253479957581,0.521452903747559,0.505787312984467,0.477003276348114
84,21,523916.036,5448556.847,27.0580121075243,82.4046190094521,0.476026564836502,0.397171825170517,0.396935880184174,0.409457117319107,0.388839423656464,0.409756392240524,0.453279465436935,0.408216595649719,0.497641712427139,0.486623346805573,0.448261708021164
86,22,523976.295,5448643.233,29.5966132578456,81.6962208952268,0.181085377931595,0.0197510775178671,0.0248093213886023,0.0565302334725857,0.0794606283307076,0.10944189876318,0.254209250211716,0.180907130241394,0.262136727571487,0.23436538875103,0.214327096939087
88,22,523977.948,5448618.759,29.5966132578456,81.6962208952268,0.17965729534626,0.147644832730293,0.152498364448547,0.148541197180748,0.196767568588257,0.177269592881203,0.314143389463425,0.190290048718452,0.275309979915619,0.291650325059891,0.248344391584396
89,23,523323.831,5448232.334,15.6960379933792,83.0254167088095,0.4212646484375,0.414823710918427,0.41485184431076,0.412039697170258,0.314943671226501,0.379809349775314,0.401091694831848,0.397310256958008,0.421705305576324,0.456877440214157,0.413362890481949
90,23,523292.081,5448233.657,15.6960379933792,83.0254167088095,0.309933483600616,0.255939424037933,0.28899621963501,0.297567248344421,0.198628529906273,0.256534606218338,0.326444953680038,0.318684697151184,0.23230741918087,0.335049331188202,0.320495098829269
