"MSI","NBR","NDMI","NDVI","RGI","TCW","ndmi_norm","ndmi_parent","pi_mpb_killed","pi_mpb_killed_pc","plot","point_id","year","epoch","epoch_start","sensor","n_scenes"
-0.164791017770767,0.444569498300552,0.164791017770767,0.715946137905121,0.858883139284175,-0.05656108825,-0.0780000016093254,-0.140134006738663,34.6738155584882,81.2893700172594,17,17,2005,10,"2005-09-22","LT05",1
-0.291231542825699,0.581875801086426,0.291231542825699,0.766306638717651,0.673359399767516,-0.035181975,-0.109999999403954,-0.130511999130249,26.7821906400317,82.516768859463,18,18,2005,10,"2005-09-22","LT05",1
-0.276220947504044,0.553309798240662,0.276220947504044,0.687486886978149,0.843762865376697,-0.0328844325,-0.115800000727177,-0.15599699318409,42.2896190094521,80.3480178591308,19,19,2005,10,"2005-09-22","LT05",1
-0.18214513361454,0.569517135620117,0.18214513361454,0.750621795654297,0.636928601021958,-0.03114773875,-0.114600002765656,-0.139293998479843,32.1352144081669,81.4756191353309,20,20,2005,10,"2005-09-22","LT05",1
-0.342597395181656,0.705271661281586,0.342597395181656,0.796994686126709,0.639471092980728,-0.0207098635,-0.0790999978780746,-0.133031994104385,27.0580121075243,82.4046190094521,21,21,2005,10,"2005-09-22","LT05",1
-0.285335958003998,0.57668149471283,0.285335958003998,0.726857721805573,0.865525672371638,-0.02950855175,-0.109099999070167,-0.138340994715691,29.5966132578456,81.6962208952268,22,22,2005,10,"2005-09-22","LT05",1
-0.295234560966492,0.543383896350861,0.295234560966492,0.705748856067657,0.84834913944503,-0.04121773825,-0.0808999985456467,-0.128451004624367,15.6960379933792,83.0254167088095,23,23,2005,10,"2005-09-22","LT05",1
-0.169125109910965,0.423463881015778,0.169125109910965,0.60626208782196,1.09603760913365,-0.06712658825,-0.0795999988913536,-0.120993003249168,12.4474495204142,86.4397252412076,24,24,2005,10,"2005-09-22","LT05",1
-0.334807544946671,0.652677297592163,0.334807544946671,0.73713207244873,0.671004302655053,-0.02236226975,-0.0807999968528748,-0.117039002478123,10.4631284723991,87.0560121075243,25,25,2005,10,"2005-09-22","LT05",1
-0.351970106363297,0.648089528083801,0.351970106363297,0.780360221862793,0.619731986793552,-0.042012436,-0.107600003480911,-0.166336998343468,47.3668213100947,75.4096132578456,26,26,2005,10,"2005-09-22","LT05",1
