point_id,plot,easting_m,northing_m,pi_mpb_killed,pi_mpb_killed_pc,in_fire
45,12,523702.186,5447488.854,1.3616191353309,92.5614495204142,True
46,12,523670.436,5447490.177,1.3616191353309,92.5614495204142,True
47,12,523702.516,5447466.033,1.3616191353309,92.5614495204142,True
48,12,523672.089,5447465.703,1.3616191353309,92.5614495204142,True
49,13,523648.211,5447487.266,11.578429154288,86.7801906400317,True
50,13,523616.461,5447488.589,11.578429154288,86.7801906400317,True
51,13,523648.541,5447464.446,11.578429154288,86.7801906400317,True
52,13,523618.114,5447464.115,11.578429154288,86.7801906400317,True
53,14,523441.041,5447636.492,12.2775414763885,86.7627074102368,True
54,14,523409.291,5447637.814,12.2775414763885,86.7627074102368,True
55,14,523441.372,5447613.671,12.2775414763885,86.7627074102368,True
56,14,523410.945,5447613.34,12.2775414763885,86.7627074102368,True
57,15,524064.136,5447756.877,0.622957484084543,97.850410957203,True
58,15,524032.386,5447758.2,0.622957484084543,97.850410957203,True
59,15,524064.467,5447734.057,0.622957484084543,97.850410957203,True
60,15,524034.04,5447733.726,0.622957484084543,97.850410957203,True
61,16,523322.243,5448286.31,8.94947148798914,88.3551928019693,True
62,16,523290.493,5448287.632,8.94947148798914,88.3551928019693,True
63,16,523322.574,5448263.489,8.94947148798914,88.3551928019693,True
64,16,523292.147,5448263.158,8.94947148798914,88.3551928019693,True
65,17,523177.158,5445719.818,34.6738155584882,81.2893700172594,True
66,17,523206.923,5445717.04,34.6738155584882,81.2893700172594,True
67,17,523177.158,5445685.687,34.6738155584882,81.2893700172594,True
68,17,523206.923,5445687.672,34.6738155584882,81.2893700172594,True
69,18,523503.219,5447903.721,26.7821906400317,82.516768859463,True
70,18,523471.469,5447905.044,26.7821906400317,82.516768859463,True
71,18,523503.549,5447880.901,26.7821906400317,82.516768859463,True
72,18,523473.122,5447880.57,26.7821906400317,82.516768859463,True
73,19,523560.104,5447903.721,42.2896190094521,80.3480178591308,True
74,19,523528.354,5447905.044,42.2896190094521,80.3480178591308,True
75,19,523560.435,5447880.901,42.2896190094521,80.3480178591308,True
76,19,523530.008,5447880.57,42.2896190094521,80.3480178591308,True
77,20,523796.907,5448526.023,32.1352144081669,81.4756191353309,True
78,20,523765.157,5448527.345,32.1352144081669,81.4756191353309,True
79,20,523797.237,5448503.202,32.1352144081669,81.4756191353309,True
80,20,523766.81,5448502.871,32.1352144081669,81.4756191353309,True
81,21,523946.132,5448579.998,27.0580121075243,82.4046190094521,True
82,21,523914.382,5448581.321,27.0580121075243,82.4046190094521,True
83,21,523946.463,5448557.177,27.0580121075243,82.4046190094521,True
84,21,523916.036,5448556.847,27.0580121075243,82.4046190094521,True
85,22,524008.045,5448641.91,29.5966132578456,81.6962208952268,True
86,22,523976.295,5448643.233,29.5966132578456,81.6962208952268,True
87,22,524008.375,5448619.09,29.5966132578456,81.6962208952268,True
88,22,523977.948,5448618.759,29.5966132578456,81.6962208952268,True
89,23,523323.831,5448232.334,15.6960379933792,83.0254167088095,True
90,23,523292.081,5448233.657,15.6960379933792,83.0254167088095,True
91,23,523324.162,5448209.514,15.6960379933792,83.0254167088095,True
92,23,523293.734,5448209.183,15.6960379933792,83.0254167088095,True
93,24,523325.418,5448167.247,12.4474495204142,86.4397252412076,True
94,24,523293.668,5448168.57,12.4474495204142,86.4397252412076,True
95,24,523325.749,5448144.426,12.4474495204142,86.4397252412076,True
96,24,523295.322,5448144.096,12.4474495204142,86.4397252412076,True
97,25,523384.156,5448168.834,10.4631284723991,87.0560121075243,True
98,25,523352.406,5448170.157,10.4631284723991,87.0560121075243,True
99,25,523384.487,5448146.014,10.4631284723991,87.0560121075243,True
100,25,523354.059,5448145.683,10.4631284723991,87.0560121075243,True
101,26,523447.656,5448225.984,47.3668213100947,75.4096132578456,True
102,26,523415.906,5448227.307,47.3668213100947,75.4096132578456,True
103,26,523447.987,5448203.164,47.3668213100947,75.4096132578456,True
104,26,523417.56,5448202.833,47.3668213100947,75.4096132578456,True
105,27,523501.631,5448316.472,44.8282201597734,77.9482144081669,True
106,27,523469.881,5448317.795,44.8282201597734,77.9482144081669,True
107,27,523501.962,5448293.652,44.8282201597734,77.9482144081669,True
108,27,523471.535,5448293.321,44.8282201597734,77.9482144081669,True
109,28,523500.044,5448375.21,1.17537001725943,95.2830379933792,True
110,28,523468.294,5448376.533,1.17537001725943,95.2830379933792,True
111,28,523500.374,5448352.389,1.17537001725943,95.2830379933792,True
112,28,523469.947,5448352.059,1.17537001725943,95.2830379933792,True
