"BLUE","GREEN","NDMI","NIR","RED","SWIR1","SWIR2","dNDMI","elev","lab","split","yr","lon","lat"
0.0241686,0.0450896,0.2824263,0.2371458,0.0346947,0.1326935,0.0724565,-0.009177,1327,1,0,2005,-116.575677,49.2316751
0.0141917,0.0309306,0.4028756,0.2116514,0.0209705,0.090088,0.0389067,-0.0012184,1364,1,0,2005,-116.5799889,49.2319446
0.0184272,0.0324152,0.1585776,0.1818666,0.0273998,0.1320814,0.0638175,-0.1352283,1454,1,0,2005,-116.575138,49.233831
0.0278778,0.0486455,0.1624687,0.2146743,0.0479391,0.1546678,0.0824861,-0.006269,1384,1,1,2005,-116.5713651,49.2300581
0.0158363,0.0345034,0.3426434,0.2233037,0.0237929,0.1093292,0.0462003,-0.0172746,1472,1,0,2005,-116.5807974,49.23437
0.0406076,0.0615601,0.0747995,0.2200633,0.0645987,0.1894332,0.1200323,-0.0314677,1421,1,0,2005,-116.5697481,49.2276327
0.0164152,0.0296366,0.373526,0.1827447,0.0220947,0.083351,0.0350209,-0.0307337,1320,1,1,2005,-116.5794499,49.2311361
0.0157384,0.0320726,0.3337629,0.2081696,0.0233525,0.1039843,0.0457349,0.0050705,1480,1,0,2005,-116.5786414,49.2346395
0.0188698,0.0318788,0.2737011,0.2270147,0.0250366,0.12945,0.059046,-0.0419651,1406,1,0,2005,-116.576216,49.233292
0.016512,0.0293288,0.3746703,0.1970677,0.0220688,0.089645,0.041166,-0.0137326,1508,1,1,2005,-116.5778329,49.2351785
0.021614,0.0373788,0.408765,0.2469269,0.0254794,0.1036311,0.0476325,0.0047162,1358,1,0,2005,-116.5748685,49.2322141
0.017347,0.0400789,0.2957373,0.21237,0.0284186,0.1154279,0.0561558,0.0018311,1512,1,0,2005,-116.5799889,49.234909
0.0236737,0.038215,0.1884203,0.1881964,0.0337191,0.1285205,0.0666636,-0.0661857,1363,1,0,2005,-116.5759465,49.2322141
0.017793,0.0362202,0.3297548,0.2046472,0.0286109,0.1031497,0.0429208,-0.0547624,1367,1,1,2005,-116.5719041,49.2295191
0.0161723,0.0333266,0.4153654,0.2063832,0.0183928,0.0852492,0.0338608,-0.0416543,1319,1,1,2005,-116.5786414,49.2314056
0.0210178,0.037811,0.2929598,0.1917901,0.0282626,0.1048782,0.0436502,-0.0758742,1292,1,0,2005,-116.5737905,49.2292496
0.0174039,0.0364299,0.169178,0.1555191,0.0308127,0.1105124,0.0556815,-0.0657171,1436,1,1,2005,-116.5708261,49.2311361
0.015953,0.028998,0.2567563,0.1526176,0.0190797,0.0902578,0.0444679,-0.0258617,1313,1,0,2005,-116.575138,49.2308666
0.0168722,0.030708,0.3437255,0.1883607,0.0220984,0.0919952,0.0416857,-0.0209819,1431,1,0,2005,-116.5764855,49.23437
0.0194764,0.0361949,0.2082325,0.1682876,0.0341307,0.1102806,0.0542912,-0.1605089,1266,1,0,2005,-116.575677,49.2297886
0.0189085,0.0316072,0.3726955,0.1730748,0.025258,0.079093,0.0357898,-0.0325828,1441,1,1,2005,-116.5697481,49.2287106
0.0204294,0.0415645,0.2352218,0.2135991,0.0356374,0.1322483,0.0641201,-0.0220539,1405,1,0,2005,-116.5708261,49.2303276
0.0172824,0.0314669,0.327445,0.1924588,0.0250849,0.09751,0.0427091,-0.042176,1440,1,0,2005,-116.5781024,49.233831
0.021684,0.0368119,0.3288751,0.2260547,0.0274027,0.114165,0.0542867,-0.0293743,1343,1,0,2005,-116.5748685,49.2319446
0.0173335,0.0336088,0.3945198,0.2238134,0.0261871,0.0971765,0.0404447,-0.0047445,1338,1,0,2005,-116.5743295,49.2305971
0.0194405,0.0341727,0.3636221,0.2023725,0.0266954,0.0944436,0.0430709,0.009307,1236,1,0,2005,-116.576755,49.2300581
0.0213118,0.0371015,0.3256497,0.2211356,0.0233574,0.1124904,0.048824,-0.0234313,1510,1,0,2005,-116.5783719,49.235448
0.0158227,0.0341856,0.3790394,0.2268293,0.0210273,0.1021378,0.0447702,-0.0040238,1392,1,0,2005,-116.5799889,49.2324836
0.0217492,0.0380026,0.3059489,0.2107591,0.0267435,0.1120087,0.0618845,0.0356025,1301,1,0,2005,-116.575677,49.2308666
0.0198969,0.0353869,0.3177835,0.1785798,0.0284682,0.0924508,0.0418594,-0.0513442,1340,1,0,2005,-116.572443,49.2281716
0.0173856,0.0365011,0.2986576,0.1821519,0.0260323,0.0983715,0.0443921,-0.0349289,1529,1,0,2005,-116.5802584,49.2357175
0.0203991,0.0345918,0.3541558,0.2063963,0.0234815,0.0984376,0.043843,-0.0208895,1426,1,0,2005,-116.5700176,49.2300581
0.0171108,0.03072,0.3888473,0.1896656,0.022915,0.0834611,0.0387753,-0.0173816,1374,1,0,2005,-116.5772939,49.2327531
0.018479,0.0435738,0.2938829,0.2248945,0.0276218,0.1227328,0.0486089,-0.0131804,1253,1,0,2005,-116.576216,49.2303276
