"point_id","plot","easting_m","northing_m","pi_mpb_killed","pi_mpb_killed_pc","BLUE","GREEN","NDMI","NIR","RED","SWIR1","SWIR2","dNDMI"
49,13,523648.211,5447487.266,11.578429154288,86.7801906400317,0.02664125,0.04165625,0.220694005489349,0.18743375,0.03293875,0.11966,0.06373875,-0.194950670003891
50,13,523616.461,5447488.589,11.578429154288,86.7801906400317,0.0229975,0.03606,0.358070462942123,0.18732375,0.02471625,0.08854375,0.0425225,-0.106072120368481
51,13,523648.541,5447464.446,11.578429154288,86.7801906400317,0.02664125,0.04165625,0.220694005489349,0.18743375,0.03293875,0.11966,0.06373875,-0.194950670003891
52,13,523618.114,5447464.115,11.578429154288,86.7801906400317,0.0229975,0.03606,0.358070462942123,0.18732375,0.02471625,0.08854375,0.0425225,-0.106072120368481
53,14,523441.041,5447636.492,12.2775414763885,86.7627074102368,0.02537625,0.042165,0.242795810103416,0.19809,0.03164625,0.12069125,0.06294125,-0.139770194888115
54,14,523409.291,5447637.814,12.2775414763885,86.7627074102368,0.027315,0.04517625,0.201524585485458,0.20687625,0.03590875,0.13748,0.0733225,-0.144792169332504
55,14,523441.372,5447613.671,12.2775414763885,86.7627074102368,0.02537625,0.042165,0.242795810103416,0.19809,0.03164625,0.12069125,0.06294125,-0.139770194888115
56,14,523410.945,5447613.34,12.2775414763885,86.7627074102368,0.027315,0.04517625,0.201524585485458,0.20687625,0.03590875,0.13748,0.0733225,-0.144792169332504
57,15,524064.136,5447756.877,0.622957484084543,97.850410957203,0.02628375,0.0375175,0.225292280316353,0.16152875,0.02765875,0.10212875,0.05344,-0.285217493772507
58,15,524032.386,5447758.2,0.622957484084543,97.850410957203,0.02606375,0.038535,0.245577767491341,0.17093375,0.02763125,0.10353125,0.05326125,-0.24397075176239
59,15,524064.467,5447734.057,0.622957484084543,97.850410957203,0.0280575,0.0406525,0.159038916230202,0.1659425,0.03156375,0.1204025,0.06522375,-0.370458900928497
60,15,524034.04,5447733.726,0.622957484084543,97.850410957203,0.02760375,0.040625,0.182842031121254,0.16883,0.030615,0.116635,0.0623225,-0.346009433269501
61,16,523322.243,5448286.31,8.94947148798914,88.3551928019693,0.0244275,0.03887875,0.235388353466988,0.1783175,0.027975,0.110365,0.057125,-0.18574683368206
62,16,523290.493,5448287.632,8.94947148798914,88.3551928019693,0.0243175,0.03665125,0.289841502904892,0.17827625,0.02614625,0.098155,0.0497825,-0.167005077004433
63,16,523322.574,5448263.489,8.94947148798914,88.3551928019693,0.024565,0.0371325,0.235442861914635,0.18016,0.0280025,0.1114925,0.05832125,-0.193405345082283
64,16,523292.147,5448263.158,8.94947148798914,88.3551928019693,0.02628375,0.04426875,0.170405104756355,0.204085,0.0343825,0.1446575,0.07578375,-0.186371117830276
65,17,523177.158,5445719.818,34.6738155584882,81.2893700172594,0.02144375,0.0444475,0.189585328102112,0.17764375,0.03709125,0.12102125,0.070765,-0.125028818845749
