"year","epoch","start","sensor","index","n_plots","r_m2","r_pc","abs_m2","abs_pc"
2009,4,"2009-06-18","LT05","MSI",28,0.398003169205597,-0.425047309017369,0.398003169205597,0.425047309017369
2009,7,"2009-08-05","LT05","TCW",28,-0.397997644889387,0.420212844180873,0.397997644889387,0.420212844180873
2007,7,"2007-08-05","LT05","NBR",28,-0.396113990808025,0.41131831575284,0.396113990808025,0.41131831575284
2003,4,"2003-06-18","LT05","NDMI",28,-0.396097499239555,0.4208617854352,0.396097499239555,0.4208617854352
2003,4,"2003-06-18","LT05","MSI",28,0.396097499239555,-0.4208617854352,0.396097499239555,0.4208617854352
2005,5,"2005-07-04","LT05","NDMI",28,-0.395979919546136,0.419688875392142,0.395979919546136,0.419688875392142
2005,5,"2005-07-04","LT05","MSI",28,0.395979919546136,-0.419688875392142,0.395979919546136,0.419688875392142
2007,7,"2007-08-05","LT05","NDMI",28,-0.394874659564196,0.42991941490775,0.394874659564196,0.42991941490775
2007,7,"2007-08-05","LT05","MSI",28,0.394874659564196,-0.42991941490775,0.394874659564196,0.42991941490775
2007,6,"2007-07-20","LT05","TCW",28,-0.394562192179567,0.421836000352673,0.394562192179567,0.421836000352673
2009,7,"2009-08-05","LT05","NDVI",28,-0.394133028056681,0.369512819817826,0.394133028056681,0.369512819817826
2014,1,"2014-05-01","LC08","TCW",27,-0.393519200403591,0.387533606648029,0.393519200403591,0.387533606648029
2014,5,"2014-07-04","LC08","NDMI",28,-0.39345788534475,0.396637501474663,0.39345788534475,0.396637501474663
2014,5,"2014-07-04","LC08","MSI",28,0.39345788534475,-0.396637501474663,0.39345788534475,0.396637501474663
2013,6,"2013-07-20","LC08","TCW",28,-0.393017525052465,0.406172841871301,0.393017525052465,0.406172841871301
2010,7,"2010-08-05","LT05","TCW",28,-0.391677393585341,0.415029799810918,0.391677393585341,0.415029799810918
2005,10,"2005-09-22","LT05","NDMI",28,-0.391667967997246,0.417023018717502,0.391667967997246,0.417023018717502
2005,10,"2005-09-22","LT05","MSI",28,0.391667967997246,-0.417023018717502,0.391667967997246,0.417023018717502
2003,9,"2003-09-06","LT05","NDMI",28,-0.391614721994722,0.420376116492646,0.391614721994722,0.420376116492646
2003,9,"2003-09-06","LT05","MSI",28,0.391614721994722,-0.420376116492646,0.391614721994722,0.420376116492646
2013,5,"2013-07-04","LC08","TCW",28,-0.391451177656265,0.403358869120105,0.391451177656265,0.403358869120105
2005,6,"2005-07-20","LT05","NDMI",25,-0.391440014804622,0.395473191713592,0.391440014804622,0.395473191713592
2005,6,"2005-07-20","LT05","MSI",25,0.391440014804622,-0.395473191713592,0.391440014804622,0.395473191713592
2014,7,"2014-08-05","LC08","NDMI",28,-0.391207554146085,0.395474185959607,0.391207554146085,0.395474185959607
2014,7,"2014-08-05","LC08","MSI",28,0.391207554146085,-0.395474185959607,0.391207554146085,0.395474185959607
2005,6,"2005-07-20","LT05","NDVI",25,-0.389949705007421,0.374608147417594,0.389949705007421,0.374608147417594
2007,5,"2007-07-04","LT05","TCW",28,-0.389652204979203,0.404808817534939,0.389652204979203,0.404808817534939
2013,3,"2013-06-02","LC08","TCW",28,-0.38718266970043,0.418381790527587,0.38718266970043,0.418381790527587
2003,9,"2003-09-06","LT05","TCW",28,-0.387155423262824,0.384518167563961,0.387155423262824,0.384518167563961
2007,5,"2007-07-04","LT05","NDMI",28,-0.386064527665118,0.394399224839981,0.386064527665118,0.394399224839981
2007,5,"2007-07-04","LT05","MSI",28,0.386064527665118,-0.394399224839981,0.386064527665118,0.394399224839981
2014,1,"2014-05-01","LC08","NDMI",27,-0.385193480889499,0.419931728330076,0.385193480889499,0.419931728330076
2014,1,"2014-05-01","LC08","MSI",27,0.385193480889499,-0.419931728330076,0.385193480889499,0.419931728330076
2005,7,"2005-08-05","LT05","TCW",28,-0.384699337863513,0.401972599394815,0.384699337863513,0.401972599394815
2009,4,"2009-06-18","LT05","NBR",28,-0.380085198068294,0.400310448667777,0.380085198068294,0.400310448667777
2003,9,"2003-09-06","LT05","NBR",28,-0.380030617710064,0.357900772486177,0.380030617710064,0.357900772486177
2007,9,"2007-09-06","LT05","TCW",28,-0.379946534361906,0.40680447231096,0.379946534361906,0.40680447231096
2003,7,"2003-08-05","LT05","NBR",28,-0.379388970045639,0.394426161995579,0.379388970045639,0.394426161995579
2003,4,"2003-06-18","LT05","NBR",28,-0.379288611904247,0.390664994003398,0.379288611904247,0.390664994003398
2009,5,"2009-07-04","LT05","NDMI",28,-0.378875801094988,0.404575840823307,0.378875801094988,0.404575840823307
2009,5,"2009-07-04","LT05","MSI",28,0.378875801094988,-0.404575840823307,0.378875801094988,0.404575840823307
2014,5,"2014-07-04","LC08","RGI",28,0.378866158529952,-0.360937803648035,0.378866158529952,0.360937803648035
2006,10,"2006-09-22","LT05","NBR",28,-0.378678418713327,0.37944581887462,0.378678418713327,0.37944581887462
2006,10,"2006-09-22","LT05","TCW",28,-0.377559201237697,0.378986329895338,0.377559201237697,0.378986329895338
2008,9,"2008-09-05","LT05","TCW",28,-0.376582647765654,0.39503882300464,0.376582647765654,0.39503882300464
2013,6,"2013-07-20","LC08","NDMI",28,-0.376371833940894,0.386482770595417,0.376371833940894,0.386482770595417
2013,6,"2013-07-20","LC08","MSI",28,0.376371833940894,-0.386482770595417,0.376371833940894,0.386482770595417
2020,6,"2020-07-19","LC08","TCW",28,-0.375351852249548,0.324798471349059,0.375351852249548,0.324798471349059
2014,5,"2014-07-04","LC08","TCW",28,-0.375273825318236,0.387233280833838,0.375273825318236,0.387233280833838
2014,4,"2014-06-18","LC08","TCW",28,-0.374296982443184,0.390042722712628,0.374296982443184,0.390042722712628
2020,7,"2020-08-04","LC08","TCW",28,-0.373991730653651,0.327028609045479,0.373991730653651,0.327028609045479
2009,4,"2009-06-18","LT05","TCW",28,-0.373701490835024,0.409178664827637,0.373701490835024,0.409178664827637
2011,5,"2011-07-04","LT05","NBR",23,-0.37354613707938,0.381617108935857,0.37354613707938,0.381617108935857
2007,6,"2007-07-20","LT05","NBR",28,-0.370115194306317,0.407653224801368,0.370115194306317,0.407653224801368
2014,5,"2014-07-04","LC08","NDVI",28,-0.369069452849993,0.345003891910189,0.369069452849993,0.345003891910189
2009,7,"2009-08-05","LT05","NBR",28,-0.36633617870796,0.364265184410188,0.36633617870796,0.364265184410188
2003,8,"2003-08-21","LT05","NBR",28,-0.365941076509948,0.392166375611211,0.365941076509948,0.392166375611211
2013,5,"2013-07-04","LC08","NDMI",28,-0.365647404183433,0.366057660962866,0.365647404183433,0.366057660962866
2013,5,"2013-07-04","LC08","MSI",28,0.365647404183433,-0.366057660962866,0.365647404183433,0.366057660962866
2003,5,"2003-07-04","LT05","NDMI",28,-0.364992813039141,0.403726727503533,0.364992813039141,0.403726727503533
2003,5,"2003-07-04","LT05","MSI",28,0.364992813039141,-0.403726727503533,0.364992813039141,0.403726727503533
2014,7,"2014-08-05","LC08","NBR",28,-0.36450834205388,0.368651619806999,0.36450834205388,0.368651619806999
2006,2,"2006-05-17","LT05","TCW",25,-0.363977712929759,0.402556740658766,0.363977712929759,0.402556740658766
2005,8,"2005-08-21","LT05","NDMI",28,-0.363514662796145,0.41079775752074,0.363514662796145,0.41079775752074
2005,8,"2005-08-21","LT05","MSI",28,0.363514662796145,-0.41079775752074,0.363514662796145,0.41079775752074
2013,8,"2013-08-21","LC08","NDMI",28,-0.363266382095422,0.375865547110211,0.363266382095422,0.375865547110211
2013,8,"2013-08-21","LC08","MSI",28,0.363266382095422,-0.375865547110211,0.363266382095422,0.375865547110211
2006,6,"2006-07-20","LT05","NDMI",28,-0.363149918924087,0.402590009633752,0.363149918924087,0.402590009633752
2006,6,"2006-07-20","LT05","MSI",28,0.363149918924087,-0.402590009633752,0.363149918924087,0.402590009633752
2005,7,"2005-08-05","LT05","NBR",28,-0.361680894064655,0.37099419587756,0.361680894064655,0.37099419587756
2009,9,"2009-09-06","LT05","NDVI",28,-0.360465665885607,0.331727360460595,0.360465665885607,0.331727360460595
2011,5,"2011-07-04","LT05","NDMI",23,-0.359806890399543,0.388960436145664,0.359806890399543,0.388960436145664
2011,5,"2011-07-04","LT05","MSI",23,0.359806890399543,-0.388960436145664,0.359806890399543,0.388960436145664
2007,5,"2007-07-04","LT05","NBR",28,-0.359423343455629,0.37831189268798,0.359423343455629,0.37831189268798
2009,4,"2009-06-18","LT05","NDVI",28,-0.358640363056332,0.310192606695136,0.358640363056332,0.310192606695136
2003,8,"2003-08-21","LT05","RGI",28,-0.358354875846673,0.387437567170027,0.358354875846673,0.387437567170027
2014,5,"2014-07-04","LC08","NBR",28,-0.358254951466125,0.357683555698094,0.358254951466125,0.357683555698094
2010,7,"2010-08-05","LT05","NBR",28,-0.357503006733963,0.351803499962043,0.357503006733963,0.351803499962043
2006,2,"2006-05-17","LT05","NBR",25,-0.356847650034311,0.383635158967469,0.356847650034311,0.383635158967469
2006,2,"2006-05-17","LT05","NDMI",25,-0.35666294276199,0.396869710153021,0.35666294276199,0.396869710153021
