"year","epoch","start","sensor","index","n_plots","r_m2","r_pc","abs_m2","abs_pc"
2007,1,"2007-05-01","LT05","RGI",28,-0.197097584815139,0.169206199767417,0.197097584815139,0.169206199767417
2013,6,"2013-07-20","LC08","NBR",28,0.196939907748843,-0.204562303954553,0.196939907748843,0.204562303954553
2005,10,"2005-09-22","LT05","RGI",28,-0.196867987595631,0.242470917681555,0.196867987595631,0.242470917681555
2014,7,"2014-08-05","LC08","NDMI",28,0.195888185373052,-0.166382058324743,0.195888185373052,0.166382058324743
2014,7,"2014-08-05","LC08","MSI",28,-0.195888185373052,0.166382058324743,0.195888185373052,0.166382058324743
2011,8,"2011-08-21","LT05","TCW",28,0.195618591349476,-0.237338430440901,0.195618591349476,0.237338430440901
2009,7,"2009-08-05","LT05","NDVI",28,0.194995383117203,-0.261783857492463,0.194995383117203,0.261783857492463
2013,8,"2013-08-21","LC08","NBR",28,0.192712108445626,-0.18323856500186,0.192712108445626,0.18323856500186
2008,3,"2008-06-01","LT05","NDVI",28,0.189881471347348,-0.211639362325602,0.189881471347348,0.211639362325602
2014,5,"2014-07-04","LC08","NBR",28,0.189428333585329,-0.178820836519042,0.189428333585329,0.178820836519042
2006,2,"2006-05-17","LT05","TCW",24,0.186991228913489,-0.0657475098918023,0.186991228913489,0.0657475098918023
2009,9,"2009-09-06","LT05","RGI",28,-0.18567264641464,0.277556426269211,0.18567264641464,0.277556426269211
2014,7,"2014-08-05","LC08","NBR",28,0.184287962914704,-0.165750143793506,0.184287962914704,0.165750143793506
2006,6,"2006-07-20","LT05","NBR",28,0.182278151366363,-0.149682961566477,0.182278151366363,0.149682961566477
2007,9,"2007-09-06","LT05","NDMI",28,0.181371128063723,-0.198064136406635,0.181371128063723,0.198064136406635
2007,9,"2007-09-06","LT05","MSI",28,-0.181371128063723,0.198064136406635,0.181371128063723,0.198064136406635
2003,8,"2003-08-21","LT05","NDMI",28,0.179549968656576,-0.198873842519589,0.179549968656576,0.198873842519589
2003,8,"2003-08-21","LT05","MSI",28,-0.179549968656576,0.198873842519589,0.179549968656576,0.198873842519589
2011,8,"2011-08-21","LT05","NBR",28,0.178557483608685,-0.219291294911666,0.178557483608685,0.219291294911666
2011,7,"2011-08-05","LT05","NDMI",28,0.178387035033304,-0.202969564603942,0.178387035033304,0.202969564603942
2011,7,"2011-08-05","LT05","MSI",28,-0.178387035033304,0.202969564603942,0.178387035033304,0.202969564603942
