"station_id","station_name","winter_year","min_temp_c","min_date","min_month"
"406","SLOCAN",2013,-14,2013-01-13,1
"406","SLOCAN",2014,-22.3,2014-02-05,2
"406","SLOCAN",2015,-18.6,2014-12-30,12
"406","SLOCAN",2016,-12.8,2015-12-31,12
"404","SMALLWOOD",1999,-20,1998-12-22,12
"404","SMALLWOOD",2000,-11.1,2000-01-19,1
"404","SMALLWOOD",2001,-17.4,2000-12-15,12
"404","SMALLWOOD",2002,-12.8,2002-02-25,2
"404","SMALLWOOD",2003,-11.5,2003-02-24,2
"404","SMALLWOOD",2004,-22.6,2004-01-05,1
"404","SMALLWOOD",2005,-21.2,2005-01-15,1
"404","SMALLWOOD",2006,-17.7,2006-02-17,2
"404","SMALLWOOD",2007,-17,2007-01-13,1
"404","SMALLWOOD",2008,-15.2,2008-01-21,1
"404","SMALLWOOD",2009,-20.4,2008-12-20,12
"404","SMALLWOOD",2010,-18.6,2009-12-08,12
"404","SMALLWOOD",2011,-19.6,2011-02-25,2
"404","SMALLWOOD",2012,-14,2012-01-19,1
"404","SMALLWOOD",2013,-12.7,2013-01-13,1
"404","SMALLWOOD",2014,-19.7,2013-12-08,12
"404","SMALLWOOD",2015,-16.4,2014-12-30,12
"404","SMALLWOOD",2016,-10.4,2015-12-17,12
